epoch,loss
0.000000000000000000e+00,2.460048198699951172e+00
1.666666666666666574e-01,4.458013772964477539e-01
3.333333333333333148e-01,9.961335659027099609e-01
5.000000000000000000e-01,1.005545854568481445e+00
6.666666666666666297e-01,6.878741383552551270e-01
8.333333333333333703e-01,6.494603157043457031e-01
1.000000000000000000e+00,1.160320878028869629e+00
1.166666666666666741e+00,4.255172014236450195e-01
1.333333333333333259e+00,1.652089595794677734e+00
1.500000000000000000e+00,1.260654091835021973e+00
1.666666666666666741e+00,1.634506821632385254e+00
1.833333333333333259e+00,1.107512950897216797e+00
2.000000000000000000e+00,1.835694909095764160e+00
2.166666666666666519e+00,1.213420987129211426e+00
2.333333333333333481e+00,2.270606040954589844e+00
2.500000000000000000e+00,1.042555332183837891e+00
2.666666666666666519e+00,1.105725407600402832e+00
2.833333333333333481e+00,9.458135962486267090e-01
3.000000000000000000e+00,1.107856392860412598e+00
3.166666666666666519e+00,1.550114154815673828e+00
3.333333333333333481e+00,1.261491060256958008e+00
3.500000000000000000e+00,2.163514137268066406e+00
3.666666666666666519e+00,1.584706783294677734e+00
3.833333333333333481e+00,1.386422157287597656e+00
4.000000000000000000e+00,2.044190645217895508e+00
4.166666666666666963e+00,1.611628413200378418e+00
4.333333333333333037e+00,1.761090993881225586e+00
4.500000000000000000e+00,7.523162961006164551e-01
4.666666666666666963e+00,1.405167341232299805e+00
4.833333333333333037e+00,1.346426963806152344e+00
5.000000000000000000e+00,1.740699291229248047e+00
5.166666666666666963e+00,2.102877855300903320e+00
5.333333333333333037e+00,1.155985713005065918e+00
5.500000000000000000e+00,2.290134668350219727e+00
5.666666666666666963e+00,1.414923071861267090e+00
5.833333333333333037e+00,7.435886263847351074e-01
6.000000000000000000e+00,1.163444161415100098e+00
6.166666666666666963e+00,1.408641457557678223e+00
6.333333333333333037e+00,2.689075231552124023e+00
6.500000000000000000e+00,1.363990664482116699e+00
6.666666666666666963e+00,3.649913549423217773e+00
6.833333333333333037e+00,1.151870489120483398e+00
7.000000000000000000e+00,1.992095351219177246e+00
7.166666666666666963e+00,1.072676062583923340e+00
7.333333333333333037e+00,3.298906803131103516e+00
7.500000000000000000e+00,1.109346866607666016e+00
7.666666666666666963e+00,1.146523952484130859e+00
7.833333333333333037e+00,1.414423823356628418e+00
8.000000000000000000e+00,9.414866566658020020e-01
8.166666666666666075e+00,8.196574449539184570e-01
8.333333333333333925e+00,1.779222965240478516e+00
8.500000000000000000e+00,2.374173641204833984e+00
8.666666666666666075e+00,1.879562020301818848e+00
8.833333333333333925e+00,1.994074106216430664e+00
9.000000000000000000e+00,1.650500178337097168e+00
9.166666666666666075e+00,1.029239654541015625e+00
9.333333333333333925e+00,1.614213824272155762e+00
9.500000000000000000e+00,1.309809684753417969e+00
9.666666666666666075e+00,1.486306786537170410e+00
9.833333333333333925e+00,2.548259496688842773e+00
1.000000000000000000e+01,3.215170383453369141e+00
1.016666666666666607e+01,1.950204014778137207e+00
1.033333333333333393e+01,1.594653010368347168e+00
1.050000000000000000e+01,1.509822130203247070e+00
1.066666666666666607e+01,3.047197580337524414e+00
1.083333333333333393e+01,2.578399658203125000e+00
1.100000000000000000e+01,7.456970214843750000e-01
1.116666666666666607e+01,1.216821551322937012e+00
1.133333333333333393e+01,1.730864763259887695e+00
1.150000000000000000e+01,2.096502780914306641e+00
1.166666666666666607e+01,1.219357252120971680e+00
1.183333333333333393e+01,3.229498624801635742e+00
1.200000000000000000e+01,1.127362728118896484e+00
1.216666666666666607e+01,1.588977456092834473e+00
1.233333333333333393e+01,4.608379840850830078e+00
1.250000000000000000e+01,1.611789345741271973e+00
1.266666666666666607e+01,1.278877377510070801e+00
1.283333333333333393e+01,3.964446306228637695e+00
1.300000000000000000e+01,2.703664302825927734e+00
1.316666666666666607e+01,2.573218345642089844e+00
1.333333333333333393e+01,1.368854045867919922e+00
1.350000000000000000e+01,2.145083665847778320e+00
1.366666666666666607e+01,2.611367225646972656e+00
1.383333333333333393e+01,2.426503658294677734e+00
1.400000000000000000e+01,1.440490603446960449e+00
1.416666666666666607e+01,1.295980095863342285e+00
1.433333333333333393e+01,3.072744131088256836e+00
1.450000000000000000e+01,3.283284187316894531e+00
1.466666666666666607e+01,2.763016462326049805e+00
1.483333333333333393e+01,1.569977283477783203e+00
1.500000000000000000e+01,2.160592079162597656e+00
1.516666666666666607e+01,8.451324701309204102e-01
1.533333333333333393e+01,1.054604530334472656e+00
1.550000000000000000e+01,2.550408124923706055e+00
1.566666666666666607e+01,1.167273044586181641e+00
1.583333333333333393e+01,2.427953481674194336e+00
1.600000000000000000e+01,1.384886026382446289e+00
1.616666666666666785e+01,3.138972282409667969e+00
1.633333333333333215e+01,1.441461443901062012e+00
1.650000000000000000e+01,7.455905079841613770e-01
1.666666666666666785e+01,1.018159508705139160e+00
1.683333333333333215e+01,1.915764927864074707e+00
1.700000000000000000e+01,2.845917940139770508e+00
1.716666666666666785e+01,2.138848304748535156e+00
1.733333333333333215e+01,2.698146104812622070e-01
1.750000000000000000e+01,1.450089693069458008e+00
1.766666666666666785e+01,2.380159378051757812e+00
1.783333333333333215e+01,2.792357683181762695e+00
1.800000000000000000e+01,1.971153736114501953e+00
1.816666666666666785e+01,2.434480905532836914e+00
1.833333333333333215e+01,1.356499195098876953e+00
1.850000000000000000e+01,1.545069575309753418e+00
1.866666666666666785e+01,1.717792987823486328e+00
1.883333333333333215e+01,1.502326011657714844e+00
1.900000000000000000e+01,2.121833562850952148e+00
1.916666666666666785e+01,2.040234804153442383e+00
1.933333333333333215e+01,3.383012056350708008e+00
1.950000000000000000e+01,5.576162815093994141e+00
1.966666666666666785e+01,2.685219049453735352e+00
1.983333333333333215e+01,1.971122741699218750e+00
2.000000000000000000e+01,4.068953037261962891e+00
2.016666666666666785e+01,2.173278808593750000e+00
2.033333333333333215e+01,4.516267299652099609e+00
2.050000000000000000e+01,2.292635917663574219e+00
2.066666666666666785e+01,7.469198703765869141e-01
2.083333333333333215e+01,4.193668842315673828e+00
2.100000000000000000e+01,1.183661937713623047e+00
2.116666666666666785e+01,2.854935884475708008e+00
2.133333333333333215e+01,2.779097318649291992e+00
2.150000000000000000e+01,2.593953609466552734e+00
2.166666666666666785e+01,2.001772165298461914e+00
2.183333333333333215e+01,1.636479616165161133e+00
2.200000000000000000e+01,1.108801245689392090e+00
2.216666666666666785e+01,1.914136648178100586e+00
2.233333333333333215e+01,3.108792304992675781e+00
2.250000000000000000e+01,1.189460635185241699e+00
2.266666666666666785e+01,2.427259922027587891e+00
2.283333333333333215e+01,2.837917089462280273e+00
2.300000000000000000e+01,3.128998994827270508e+00
2.316666666666666785e+01,1.920605421066284180e+00
2.333333333333333215e+01,1.714108228683471680e+00
2.350000000000000000e+01,3.128805637359619141e+00
2.366666666666666785e+01,1.910572409629821777e+00
2.383333333333333215e+01,5.584390163421630859e-01
2.400000000000000000e+01,1.240115761756896973e+00
2.416666666666666785e+01,1.836014509201049805e+00
2.433333333333333215e+01,2.141736984252929688e+00
2.450000000000000000e+01,1.838216900825500488e+00
2.466666666666666785e+01,8.021695017814636230e-01
2.483333333333333215e+01,2.322897434234619141e+00
2.500000000000000000e+01,1.567215323448181152e+00
2.516666666666666785e+01,1.070214748382568359e+00
2.533333333333333215e+01,6.293910741806030273e-01
2.550000000000000000e+01,2.036350965499877930e+00
2.566666666666666785e+01,2.504566431045532227e+00
2.583333333333333215e+01,5.488558411598205566e-01
2.600000000000000000e+01,3.103955745697021484e+00
2.616666666666666785e+01,2.245657444000244141e+00
2.633333333333333215e+01,2.046094417572021484e+00
2.650000000000000000e+01,5.538081645965576172e+00
2.666666666666666785e+01,1.468703269958496094e+00
2.683333333333333215e+01,1.630049943923950195e+00
2.700000000000000000e+01,2.303354024887084961e+00
2.716666666666666785e+01,1.597241163253784180e+00
2.733333333333333215e+01,1.860684871673583984e+00
2.750000000000000000e+01,1.220432758331298828e+00
2.766666666666666785e+01,1.407135963439941406e+00
2.783333333333333215e+01,1.803744196891784668e+00
2.800000000000000000e+01,3.627259731292724609e+00
2.816666666666666785e+01,1.029496908187866211e+00
2.833333333333333215e+01,1.805731177330017090e+00
2.850000000000000000e+01,2.659870862960815430e+00
2.866666666666666785e+01,2.516697883605957031e+00
2.883333333333333215e+01,1.762528419494628906e+00
2.900000000000000000e+01,1.450937151908874512e+00
2.916666666666666785e+01,9.984294176101684570e-01
2.933333333333333215e+01,1.459451556205749512e+00
2.950000000000000000e+01,1.149266719818115234e+00
2.966666666666666785e+01,2.467301368713378906e+00
2.983333333333333215e+01,1.374220371246337891e+00
3.000000000000000000e+01,9.472000002861022949e-01
3.016666666666666785e+01,3.433012485504150391e+00
3.033333333333333215e+01,1.781201362609863281e+00
3.050000000000000000e+01,8.454684615135192871e-01
3.066666666666666785e+01,1.422175407409667969e+00
3.083333333333333215e+01,2.350729942321777344e+00
3.100000000000000000e+01,1.771991848945617676e+00
3.116666666666666785e+01,2.142720699310302734e+00
3.133333333333333215e+01,1.570830941200256348e+00
3.150000000000000000e+01,1.152929782867431641e+00
3.166666666666666785e+01,1.181142091751098633e+00
3.183333333333333215e+01,2.369414091110229492e+00
3.200000000000000000e+01,1.573620557785034180e+00
3.216666666666666430e+01,2.423335075378417969e+00
3.233333333333333570e+01,1.480789542198181152e+00
3.250000000000000000e+01,1.665663480758666992e+00
3.266666666666666430e+01,5.389966964721679688e+00
3.283333333333333570e+01,2.071486473083496094e+00
3.300000000000000000e+01,3.423857212066650391e+00
3.316666666666666430e+01,1.268322110176086426e+00
3.333333333333333570e+01,3.195245981216430664e+00
3.350000000000000000e+01,2.051976680755615234e+00
3.366666666666666430e+01,2.705657243728637695e+00
3.383333333333333570e+01,1.837374210357666016e+00
3.400000000000000000e+01,1.041033029556274414e+00
3.416666666666666430e+01,1.491115927696228027e+00
3.433333333333333570e+01,2.265211105346679688e+00
3.450000000000000000e+01,1.323511004447937012e+00
3.466666666666666430e+01,1.180304527282714844e+00
3.483333333333333570e+01,1.363149285316467285e+00
3.500000000000000000e+01,1.581314802169799805e+00
3.516666666666666430e+01,1.849562525749206543e+00
3.533333333333333570e+01,1.769443154335021973e+00
3.550000000000000000e+01,1.459832787513732910e+00
3.566666666666666430e+01,2.081671237945556641e+00
3.583333333333333570e+01,1.983553171157836914e+00
3.600000000000000000e+01,1.611439347267150879e+00
3.616666666666666430e+01,2.679399013519287109e+00
3.633333333333333570e+01,1.996291995048522949e+00
3.650000000000000000e+01,2.352713584899902344e+00
3.666666666666666430e+01,2.272804021835327148e+00
3.683333333333333570e+01,2.480404138565063477e+00
3.700000000000000000e+01,1.987551927566528320e+00
3.716666666666666430e+01,1.596668124198913574e+00
3.733333333333333570e+01,3.464871168136596680e+00
3.750000000000000000e+01,3.963654518127441406e+00
3.766666666666666430e+01,7.698019146919250488e-01
3.783333333333333570e+01,1.705584764480590820e+00
3.800000000000000000e+01,3.389773607254028320e+00
3.816666666666666430e+01,2.311866998672485352e+00
3.833333333333333570e+01,3.352524995803833008e+00
3.850000000000000000e+01,2.154597282409667969e+00
3.866666666666666430e+01,2.573029279708862305e+00
3.883333333333333570e+01,3.886744976043701172e+00
3.900000000000000000e+01,2.495172977447509766e+00
3.916666666666666430e+01,1.234377622604370117e+00
