epoch,loss
0.000000000000000000e+00,2.523332118988037109e+00
1.666666666666666574e-01,4.486978948116302490e-01
3.333333333333333148e-01,9.944532513618469238e-01
5.000000000000000000e-01,1.001619100570678711e+00
6.666666666666666297e-01,6.883940100669860840e-01
8.333333333333333703e-01,6.461649537086486816e-01
1.000000000000000000e+00,1.150138616561889648e+00
1.166666666666666741e+00,4.236485660076141357e-01
1.333333333333333259e+00,1.662199378013610840e+00
1.500000000000000000e+00,1.263713836669921875e+00
1.666666666666666741e+00,1.624878644943237305e+00
1.833333333333333259e+00,1.096845984458923340e+00
2.000000000000000000e+00,1.824414014816284180e+00
2.166666666666666519e+00,1.202840209007263184e+00
2.333333333333333481e+00,2.265140295028686523e+00
2.500000000000000000e+00,1.040707468986511230e+00
2.666666666666666519e+00,1.100752711296081543e+00
2.833333333333333481e+00,9.377840161323547363e-01
3.000000000000000000e+00,1.108435153961181641e+00
3.166666666666666519e+00,1.550891995429992676e+00
3.333333333333333481e+00,1.256021380424499512e+00
3.500000000000000000e+00,2.148739099502563477e+00
3.666666666666666519e+00,1.583052635192871094e+00
3.833333333333333481e+00,1.386948585510253906e+00
4.000000000000000000e+00,2.037911415100097656e+00
4.166666666666666963e+00,1.610065817832946777e+00
4.333333333333333037e+00,1.756157994270324707e+00
4.500000000000000000e+00,7.539349198341369629e-01
4.666666666666666963e+00,1.404255390167236328e+00
4.833333333333333037e+00,1.342211484909057617e+00
5.000000000000000000e+00,1.742633700370788574e+00
5.166666666666666963e+00,2.101315021514892578e+00
5.333333333333333037e+00,1.152574896812438965e+00
5.500000000000000000e+00,2.286646366119384766e+00
5.666666666666666963e+00,1.413763999938964844e+00
5.833333333333333037e+00,7.436848282814025879e-01
6.000000000000000000e+00,1.163764834403991699e+00
6.166666666666666963e+00,1.403134107589721680e+00
6.333333333333333037e+00,2.686271429061889648e+00
6.500000000000000000e+00,1.364854335784912109e+00
6.666666666666666963e+00,3.648037433624267578e+00
6.833333333333333037e+00,1.151869773864746094e+00
7.000000000000000000e+00,1.991471409797668457e+00
7.166666666666666963e+00,1.074156165122985840e+00
7.333333333333333037e+00,3.292637586593627930e+00
7.500000000000000000e+00,1.107155084609985352e+00
7.666666666666666963e+00,1.146184921264648438e+00
7.833333333333333037e+00,1.413674831390380859e+00
8.000000000000000000e+00,9.402422308921813965e-01
8.166666666666666075e+00,8.202372193336486816e-01
8.333333333333333925e+00,1.778143882751464844e+00
8.500000000000000000e+00,2.372552871704101562e+00
8.666666666666666075e+00,1.879393577575683594e+00
8.833333333333333925e+00,1.994605064392089844e+00
9.000000000000000000e+00,1.648493766784667969e+00
9.166666666666666075e+00,1.030822038650512695e+00
9.333333333333333925e+00,1.612075805664062500e+00
9.500000000000000000e+00,1.308196306228637695e+00
9.666666666666666075e+00,1.485948443412780762e+00
9.833333333333333925e+00,2.547487020492553711e+00
1.000000000000000000e+01,3.213296175003051758e+00
1.016666666666666607e+01,1.950564742088317871e+00
1.033333333333333393e+01,1.595339536666870117e+00
1.050000000000000000e+01,1.511839032173156738e+00
1.066666666666666607e+01,3.046569824218750000e+00
1.083333333333333393e+01,2.578666448593139648e+00
1.100000000000000000e+01,7.458834648132324219e-01
1.116666666666666607e+01,1.216765403747558594e+00
1.133333333333333393e+01,1.729868412017822266e+00
1.150000000000000000e+01,2.097567796707153320e+00
1.166666666666666607e+01,1.219176173210144043e+00
1.183333333333333393e+01,3.227241277694702148e+00
1.200000000000000000e+01,1.127487182617187500e+00
1.216666666666666607e+01,1.589439272880554199e+00
1.233333333333333393e+01,4.606772422790527344e+00
