epoch,loss
0.000000000000000000e+00,2.326678276062011719e+00
1.666666666666666574e-01,4.796605408191680908e-01
3.333333333333333148e-01,5.000635385513305664e-01
5.000000000000000000e-01,4.091609716415405273e-01
6.666666666666666297e-01,3.039388656616210938e-01
8.333333333333333703e-01,3.631663620471954346e-01
1.000000000000000000e+00,2.717106044292449951e-01
1.166666666666666741e+00,1.587752103805541992e-01
1.333333333333333259e+00,4.538560509681701660e-01
1.500000000000000000e+00,3.200288712978363037e-01
1.666666666666666741e+00,3.191169500350952148e-01
1.833333333333333259e+00,1.892634034156799316e-01
2.000000000000000000e+00,2.637688517570495605e-01
2.166666666666666519e+00,3.048428595066070557e-01
2.333333333333333481e+00,3.934490680694580078e-01
2.500000000000000000e+00,2.431397587060928345e-01
2.666666666666666519e+00,1.697949618101119995e-01
2.833333333333333481e+00,2.507067620754241943e-01
3.000000000000000000e+00,1.811330616474151611e-01
3.166666666666666519e+00,3.932842612266540527e-01
3.333333333333333481e+00,1.855679303407669067e-01
3.500000000000000000e+00,3.341504037380218506e-01
3.666666666666666519e+00,2.699556648731231689e-01
3.833333333333333481e+00,3.129037618637084961e-01
4.000000000000000000e+00,2.657355368137359619e-01
4.166666666666666963e+00,2.955054044723510742e-01
4.333333333333333037e+00,2.659125626087188721e-01
4.500000000000000000e+00,1.867105811834335327e-01
4.666666666666666963e+00,1.582534015178680420e-01
4.833333333333333037e+00,2.564503848552703857e-01
5.000000000000000000e+00,2.380889505147933960e-01
5.166666666666666963e+00,2.818942964076995850e-01
5.333333333333333037e+00,1.438177824020385742e-01
5.500000000000000000e+00,3.922601938247680664e-01
5.666666666666666963e+00,1.895273923873901367e-01
5.833333333333333037e+00,1.314811855554580688e-01
6.000000000000000000e+00,2.263434231281280518e-01
6.166666666666666963e+00,2.785771489143371582e-01
6.333333333333333037e+00,3.389889597892761230e-01
6.500000000000000000e+00,2.431429922580718994e-01
6.666666666666666963e+00,4.120249152183532715e-01
6.833333333333333037e+00,1.470908969640731812e-01
7.000000000000000000e+00,2.651715874671936035e-01
7.166666666666666963e+00,1.439799070358276367e-01
7.333333333333333037e+00,3.047375977039337158e-01
7.500000000000000000e+00,1.835321485996246338e-01
7.666666666666666963e+00,3.038629591464996338e-01
7.833333333333333037e+00,1.560561209917068481e-01
8.000000000000000000e+00,1.756777912378311157e-01
8.166666666666666075e+00,1.912676692008972168e-01
8.333333333333333925e+00,2.982864677906036377e-01
8.500000000000000000e+00,2.228391021490097046e-01
8.666666666666666075e+00,3.147757649421691895e-01
8.833333333333333925e+00,2.514670193195343018e-01
9.000000000000000000e+00,2.124303579330444336e-01
9.166666666666666075e+00,2.532245516777038574e-01
9.333333333333333925e+00,2.191500216722488403e-01
9.500000000000000000e+00,2.117020487785339355e-01
9.666666666666666075e+00,1.877091526985168457e-01
9.833333333333333925e+00,3.969953060150146484e-01
1.000000000000000000e+01,4.484126269817352295e-01
1.016666666666666607e+01,2.390121221542358398e-01
1.033333333333333393e+01,2.609130144119262695e-01
1.050000000000000000e+01,2.396286129951477051e-01
1.066666666666666607e+01,3.071444034576416016e-01
1.083333333333333393e+01,2.830002307891845703e-01
1.100000000000000000e+01,1.122925728559494019e-01
1.116666666666666607e+01,2.450543940067291260e-01
1.133333333333333393e+01,1.481616348028182983e-01
1.150000000000000000e+01,3.121950626373291016e-01
1.166666666666666607e+01,2.262341678142547607e-01
1.183333333333333393e+01,4.386751651763916016e-01
1.200000000000000000e+01,1.426803171634674072e-01
1.216666666666666607e+01,2.845735549926757812e-01
1.233333333333333393e+01,4.032855331897735596e-01
1.250000000000000000e+01,2.389114052057266235e-01
1.266666666666666607e+01,1.867129355669021606e-01
1.283333333333333393e+01,3.149031102657318115e-01
1.300000000000000000e+01,2.612428963184356689e-01
1.316666666666666607e+01,3.567779660224914551e-01
1.333333333333333393e+01,1.266919225454330444e-01
1.350000000000000000e+01,2.999272644519805908e-01
1.366666666666666607e+01,3.288356065750122070e-01
1.383333333333333393e+01,4.581667780876159668e-01
1.400000000000000000e+01,1.969585418701171875e-01
1.416666666666666607e+01,1.899577379226684570e-01
1.433333333333333393e+01,2.956657111644744873e-01
1.450000000000000000e+01,4.015824198722839355e-01
1.466666666666666607e+01,3.914627134799957275e-01
1.483333333333333393e+01,1.018879786133766174e-01
1.500000000000000000e+01,2.426974624395370483e-01
1.516666666666666607e+01,1.498268842697143555e-01
1.533333333333333393e+01,2.410139143466949463e-01
1.550000000000000000e+01,2.261072099208831787e-01
1.566666666666666607e+01,1.110475435853004456e-01
1.583333333333333393e+01,1.980270445346832275e-01
1.600000000000000000e+01,2.402755320072174072e-01
1.616666666666666785e+01,3.325939476490020752e-01
1.633333333333333215e+01,2.171081304550170898e-01
1.650000000000000000e+01,1.431131511926651001e-01
1.666666666666666785e+01,1.469908058643341064e-01
1.683333333333333215e+01,3.524614572525024414e-01
1.700000000000000000e+01,3.319882154464721680e-01
1.716666666666666785e+01,3.301975131034851074e-01
1.733333333333333215e+01,1.207085251808166504e-01
1.750000000000000000e+01,1.081480011343955994e-01
1.766666666666666785e+01,2.657225728034973145e-01
1.783333333333333215e+01,3.040882647037506104e-01
1.800000000000000000e+01,2.658678293228149414e-01
1.816666666666666785e+01,1.991001516580581665e-01
1.833333333333333215e+01,1.587975770235061646e-01
1.850000000000000000e+01,3.826397657394409180e-01
1.866666666666666785e+01,1.302737742662429810e-01
1.883333333333333215e+01,2.045670300722122192e-01
1.900000000000000000e+01,2.788490056991577148e-01
1.916666666666666785e+01,3.615681529045104980e-01
1.933333333333333215e+01,3.966745734214782715e-01
1.950000000000000000e+01,7.658383846282958984e-01
1.966666666666666785e+01,3.123152554035186768e-01
1.983333333333333215e+01,1.395811438560485840e-01
2.000000000000000000e+01,2.923087477684020996e-01
2.016666666666666785e+01,1.351593583822250366e-01
2.033333333333333215e+01,4.663652181625366211e-01
2.050000000000000000e+01,2.607095837593078613e-01
2.066666666666666785e+01,1.523028910160064697e-01
2.083333333333333215e+01,2.762580811977386475e-01
2.100000000000000000e+01,2.373360097408294678e-01
2.116666666666666785e+01,1.862951219081878662e-01
2.133333333333333215e+01,2.727245390415191650e-01
2.150000000000000000e+01,1.988418251276016235e-01
2.166666666666666785e+01,2.071488946676254272e-01
2.183333333333333215e+01,1.334546208381652832e-01
2.200000000000000000e+01,1.435033231973648071e-01
2.216666666666666785e+01,1.530034095048904419e-01
2.233333333333333215e+01,3.482531011104583740e-01
2.250000000000000000e+01,1.827677190303802490e-01
2.266666666666666785e+01,3.846129477024078369e-01
2.283333333333333215e+01,3.206683397293090820e-01
2.300000000000000000e+01,1.962412595748901367e-01
2.316666666666666785e+01,4.201864004135131836e-01
2.333333333333333215e+01,1.291338801383972168e-01
2.350000000000000000e+01,2.341464459896087646e-01
2.366666666666666785e+01,2.365730255842208862e-01
2.383333333333333215e+01,1.071110516786575317e-01
2.400000000000000000e+01,1.429799199104309082e-01
2.416666666666666785e+01,2.724108994007110596e-01
2.433333333333333215e+01,1.520920395851135254e-01
2.450000000000000000e+01,3.031299114227294922e-01
2.466666666666666785e+01,1.654545962810516357e-01
2.483333333333333215e+01,1.967225521802902222e-01
2.500000000000000000e+01,1.927475780248641968e-01
2.516666666666666785e+01,1.441743522882461548e-01
2.533333333333333215e+01,9.788246452808380127e-02
2.550000000000000000e+01,2.143217325210571289e-01
2.566666666666666785e+01,2.137445062398910522e-01
2.583333333333333215e+01,1.093749031424522400e-01
2.600000000000000000e+01,3.177623450756072998e-01
2.616666666666666785e+01,2.203198075294494629e-01
2.633333333333333215e+01,2.568956613540649414e-01
2.650000000000000000e+01,4.128620624542236328e-01
2.666666666666666785e+01,1.178340837359428406e-01
2.683333333333333215e+01,3.181860744953155518e-01
2.700000000000000000e+01,2.148132324218750000e-01
2.716666666666666785e+01,3.861796557903289795e-01
2.733333333333333215e+01,1.794697344303131104e-01
2.750000000000000000e+01,1.475228816270828247e-01
2.766666666666666785e+01,1.869914233684539795e-01
2.783333333333333215e+01,1.525079309940338135e-01
2.800000000000000000e+01,2.216194570064544678e-01
2.816666666666666785e+01,1.702474355697631836e-01
2.833333333333333215e+01,2.842694520950317383e-01
2.850000000000000000e+01,3.421284854412078857e-01
2.866666666666666785e+01,2.464166283607482910e-01
2.883333333333333215e+01,3.052567541599273682e-01
2.900000000000000000e+01,2.085960060358047485e-01
2.916666666666666785e+01,1.123012751340866089e-01
2.933333333333333215e+01,2.638442516326904297e-01
2.950000000000000000e+01,1.692185997962951660e-01
2.966666666666666785e+01,3.159199953079223633e-01
2.983333333333333215e+01,2.664164602756500244e-01
3.000000000000000000e+01,1.464415490627288818e-01
3.016666666666666785e+01,3.413440287113189697e-01
3.033333333333333215e+01,2.098444402217864990e-01
3.050000000000000000e+01,1.815478652715682983e-01
3.066666666666666785e+01,1.245769336819648743e-01
3.083333333333333215e+01,2.467067390680313110e-01
3.100000000000000000e+01,1.368538886308670044e-01
3.116666666666666785e+01,2.091058790683746338e-01
3.133333333333333215e+01,1.090194731950759888e-01
3.150000000000000000e+01,2.131107896566390991e-01
3.166666666666666785e+01,1.417184472084045410e-01
3.183333333333333215e+01,2.185432016849517822e-01
3.200000000000000000e+01,3.113448023796081543e-01
3.216666666666666430e+01,2.545887827873229980e-01
3.233333333333333570e+01,1.792299300432205200e-01
3.250000000000000000e+01,2.339322417974472046e-01
3.266666666666666430e+01,5.240452289581298828e-01
3.283333333333333570e+01,1.912508606910705566e-01
3.300000000000000000e+01,2.506705820560455322e-01
3.316666666666666430e+01,1.964564919471740723e-01
3.333333333333333570e+01,3.084660470485687256e-01
3.350000000000000000e+01,1.901802867650985718e-01
3.366666666666666430e+01,3.013812005519866943e-01
3.383333333333333570e+01,1.436661779880523682e-01
3.400000000000000000e+01,2.000334113836288452e-01
3.416666666666666430e+01,9.138775616884231567e-02
3.433333333333333570e+01,3.427290320396423340e-01
3.450000000000000000e+01,9.476463496685028076e-02
3.466666666666666430e+01,1.424024999141693115e-01
3.483333333333333570e+01,3.270304799079895020e-01
3.500000000000000000e+01,1.482029110193252563e-01
3.516666666666666430e+01,3.447393774986267090e-01
3.533333333333333570e+01,2.592521011829376221e-01
3.550000000000000000e+01,2.160134464502334595e-01
3.566666666666666430e+01,2.904186546802520752e-01
